Nodul distanta de la nodul de start
0		0
1		32
2		61
3		63
4		102
5		70
6		100
7		40
8		42
9		62
10		113
11		49
12		81
13		71
14		58
15		101
16		60
17		130
18		114
19		96
20		122
21		33
22		93
23		61
24		129
25		66
26		102
27		131
28		53
29		82
30		58
31		61
32		38
33		124
34		106
35		131
36		65
37		103
38		89
39		100
40		101
41		101
42		104
43		102
44		73
45		73
46		105
47		34
48		107
49		95
50		80
51		49
52		51
53		87
54		52
55		90
56		94
57		114
58		88
59		105
60		79
61		42
62		93
63		46
64		74
65		126
66		128
67		88
68		33
69		44
70		121
71		49
72		81
73		110
74		130
75		77
76		75
77		124
78		41
79		121
80		72
81		120
82		61
83		119
84		62
85		101
86		71
87		84
88		67
89		130
90		53
91		35
92		110
93		71
94		50
95		64
96		94
97		54
98		84
99		81
100		93
101		38
102		56
103		37
104		110
105		64
106		59
107		43
108		96
109		116
110		52
111		78
112		63
113		50
114		55
115		115
116		96
117		38
118		100
119		96
120		89
121		57
122		75
123		127
124		96
125		43
126		34
127		44
128		103
129		34
130		85
131		121
132		115
133		97
134		105
135		120
136		41
137		130
138		39
139		65
140		65
141		82
142		41
143		59
144		118
145		102
146		114
147		47
148		59
149		53
150		92
151		126
152		76
153		122
154		78
155		112
156		114
157		96
158		42
159		41
160		89
161		70
162		58
163		44
164		48
165		66
166		42
167		49
168		34
169		62
170		58
171		126
172		74
173		35
174		131
175		35
176		70
177		117
178		125
179		130
180		118
181		34
182		94
183		37
184		46
185		129
186		101
187		121
188		100
189		62
190		121
191		110
192		93
193		92
194		108
195		69
196		131
197		83
198		52
199		110
200		75
201		69
202		129
203		112
204		101
205		109
206		122
207		94
208		66
209		119
210		69
211		81
212		102
213		88
214		97
215		42
216		125
217		45
218		129
219		100
220		104
221		49
222		89
223		109
224		84
225		51
226		82
227		45
228		103
229		107
230		47
231		38
232		80
233		77
234		106
235		57
236		114
237		94
238		62
239		69
240		115
241		96
242		107
243		95
244		94
245		41
246		48
247		49
248		121
249		58
250		104
251		36
252		63
253		58
254		51
255		33
256		116
257		103
258		110
259		118
260		127
261		124
262		43
263		63
264		51
265		93
266		100
267		83
268		49
269		85
270		82
271		114
272		92
273		94
274		118
275		40
276		39
277		68
278		108
279		74
280		42
281		62
282		96
283		100
284		112
285		61
286		89
287		87
288		91
289		45
290		56
291		46
292		91
293		131
294		98
295		41
296		116
297		39
298		50
299		80
300		81
301		112
302		36
303		80
304		63
305		114
306		91
307		129
308		53
309		61
310		95
311		78
312		109
313		74
314		65
315		117
316		125
317		44
318		67
319		83
320		101
321		99
322		84
323		59
324		50
325		87
326		99
327		119
328		111
329		78
330		85
331		81
332		51
333		85
334		99
335		77
336		79
337		33
338		58
339		93
340		42
341		93
342		53
343		103
344		126
345		100
346		84
347		61
348		75
349		71
350		77
351		83
352		59
353		92
354		82
355		75
356		34
357		50
358		35
359		76
360		63
361		47
362		131
363		88
364		94
365		39
366		88
367		97
368		79
369		38
370		74
371		43
372		108
373		44
374		126
375		129
376		96
377		39
378		129
379		35
380		131
381		119
382		113
383		46
384		127
385		64
386		122
387		44
388		104
389		85
390		94
391		104
392		89
393		48
394		36
395		73
396		33
397		77
398		124
399		47
400		66
401		62
402		52
403		34
404		72
405		121
406		44
407		117
408		42
409		105
410		63
411		122
412		93
413		60
414		93
415		38
416		50
417		72
418		97
419		38
420		59
421		47
422		54
423		49
424		130
425		43
426		100
427		61
428		49
429		115
430		124
431		33
432		100
433		52
434		38
435		121
436		103
437		128
438		106
439		82
440		54
441		125
442		65
443		118
444		130
445		94
446		104
447		59
448		47
449		127
450		56
451		102
452		96
453		43
454		113
455		125
456		77
457		56
458		56
459		54
460		52
461		115
462		36
463		60
464		44
465		129
466		41
467		108
468		45
469		46
470		98
471		51
472		38
473		35
474		60
475		94
476		68
477		130
478		84
479		105
480		128
481		120
482		48
483		34
484		36
485		66
486		89
487		71
488		120
489		115
490		52
491		64
492		100
493		48
494		86
495		83
496		53
497		83
498		99
499		111
